ticket_id,phone_number,sbj,intents
2.0,2547900000,And had in was fabled seraphs nor it beyond,"[None, 'nutrition']"
8.0,2547911111,No Ideal I Was Breastfeeding,"['pain', 'pregnancy_condition', 'headache']"
9.0,2547222244,This is a ticket subject,"[None, 'baby_general', 'baby_condition', 'survey_response', 'qsurvey_positive', 'ok_thanks']"
10.0,2572222224,"Was artless, been nor come bower the it","['ok_thanks', 'fetal_movement', 'swelling']"
11.0,2547900000,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'pain', 'ok_thanks']"
12.0,2547911111,No Ideal I Was Breastfeeding,['survey_response']
13.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'pregnancy_anc_visits']"
14.0,2572222224,"Was artless, been nor come bower the it","[None, 'ifas', 'pain', 'intercourse', 'nutrition', 'baby_condition', 'insurance', 'pregnancy_condition', 'survey_response', 'qsurvey_positive', 'swelling', 'bleeding', 'ok_thanks']"
15.0,2547900000,And had in was fabled seraphs nor it beyond,"['ok_thanks', 'pregnancy_general', None, 'qsurvey_positive']"
17.0,2547911111,No Ideal I Was Breastfeeding,['survey_response']
18.0,2547222244,This is a ticket subject,"['nutrition', 'edd', 'survey_response', 'qsurvey_positive', 'ok_thanks', 'breastfeeding']"
19.0,2572222224,"Was artless, been nor come bower the it","['pain', 'survey_response', 'nutrition']"
20.0,, And had in was fabled seraphs nor it beyond,"[None, 'pregnancy_condition', 'bleeding']"
21.0,2547911111,No Ideal I Was Breastfeeding,"['qsurvey_positive', 'survey_response', 'pregnancy_anc_visits']"
22.0,2547222244,This is a ticket subject,"['ok_thanks', 'survey_response', 'qsurvey_positive']"
23.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'baby_general', 'nutrition', 'baby_condition', 'survey_response', 'qsurvey_positive', 'urination_uti']"
24.0,2547900000,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'baby_condition', 'ok_thanks']"
25.0,2547911111,No Ideal I Was Breastfeeding,"['intercourse', 'insurance', 'family_planning']"
26.0,2547222244,This is a ticket subject,['nausea_vomiting']
27.0,2572222224,"Was artless, been nor come bower the it","['fetal_movement', 'survey_response', 'ok_thanks', 'intercourse', 'baby_condition', 'fatigue_sleep', 'bleeding', None, 'pain', 'discharge', 'nutrition', 'headache', 'edd', 'pregnancy_general', 'pregnancy_condition', 'qsurvey_positive', 'breastfeeding', 'baby_general', 'pregnancy_anc_visits']"
28.0,2572222224,"Was artless, been nor come bower the it","[None, 'qsurvey_positive']"
29.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'pain', 'pregnancy_anc_visits']"
30.0,2572222224,"Was artless, been nor come bower the it","['ok_thanks', 'labour_delivery']"
31.0,2547900000,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'pain']"
33.0,2547911111,No Ideal I Was Breastfeeding,"['qsurvey_positive', 'headache']"
34.0,2547222244,This is a ticket subject,"[None, 'discharge', 'ok_thanks', 'baby_condition', 'survey_response', 'qsurvey_positive', 'pregnancy_anc_visits']"
35.0,2572222224,"Was artless, been nor come bower the it",['qsurvey_positive']
36.0,2547900000,And had in was fabled seraphs nor it beyond,"['ok_thanks', 'fetal_movement', 'survey_response']"
37.0,2547911111,No Ideal I Was Breastfeeding,"[None, 'pain', 'fetal_movement', 'baby_general', 'nutrition', 'pregnancy_anc_visits', 'baby_condition', 'insurance', 'survey_response', 'qsurvey_positive', 'ok_thanks']"
38.0,2547222244,This is a ticket subject,['survey_response']
39.0,2572222224,"Was artless, been nor come bower the it","[None, 'intercourse', 'discharge', 'nutrition', 'pregnancy_general', 'survey_response', 'medication_general', 'qsurvey_positive', 'swelling', 'ok_thanks']"
40.0,2572222224,"Was artless, been nor come bower the it",['qsurvey_positive']
41.0,2547222244,This is a ticket subject,"[None, 'pain', 'discharge', 'ok_thanks', 'pregnancy_general', 'survey_response', 'qsurvey_positive', 'breastfeeding']"
42.0,2572222224,"Was artless, been nor come bower the it",['ok_thanks']
43.0,2547900000,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'edd', 'pregnancy_condition', 'insurance']"
44.0,2547911111,No Ideal I Was Breastfeeding,"['qsurvey_positive', 'edd', None, 'pain']"
45.0,2547222244,This is a ticket subject,"['pain', 'baby_condition', 'bleeding']"
46.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'discharge', 'fetal_movement', 'family_planning', 'pregnancy_anc_visits', 'nutrition', 'edd', 'pregnancy_general', 'baby_condition', 'pregnancy_condition', 'survey_response', 'qsurvey_positive', 'swelling', 'qsurvey_negative', 'ok_thanks', 'urination_uti']"
48.0,2547900000,And had in was fabled seraphs nor it beyond,"[None, 'pain', 'nausea_vomiting', 'fetal_movement', 'stool', 'baby_general', 'edd', 'baby_condition', 'pregnancy_general', 'survey_response', 'qsurvey_positive', 'ok_thanks', 'breastfeeding', 'pregnancy_anc_visits']"
49.0,2547911111,No Ideal I Was Breastfeeding,"['ok_thanks', 'pain', 'qsurvey_positive', 'urination_uti']"
50.0,2547222244,This is a ticket subject,['edd']
52.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'labour_delivery', 'fetal_movement', 'nutrition', 'baby_condition', 'pregnancy_condition', 'survey_response', 'qsurvey_positive', 'ok_thanks', 'swelling']"
53.0,2547900000,And had in was fabled seraphs nor it beyond,['survey_response']
54.0,2547911111,No Ideal I Was Breastfeeding,['pregnancy_anc_visits']
56.0,2547222244,This is a ticket subject,['pain']
59.0,2572222224,"Was artless, been nor come bower the it",['qsurvey_positive']
60.0,2547900000,And had in was fabled seraphs nor it beyond,['ok_thanks']
61.0,2547911111,No Ideal I Was Breastfeeding,['fetal_movement']
62.0,2547222244,This is a ticket subject,['qsurvey_positive']
63.0,2572222224,"Was artless, been nor come bower the it",['ok_thanks']
64.0,2547900000,And had in was fabled seraphs nor it beyond,"[None, 'fetal_movement', 'qsurvey_positive']"
65.0,2547911111,No Ideal I Was Breastfeeding,"[None, 'pain', 'heartburn', 'nutrition', 'baby_condition', 'pregnancy_condition', 'survey_response', 'qsurvey_positive', 'ok_thanks', 'breastfeeding', 'pregnancy_anc_visits']"
66.0,2547222244,This is a ticket subject,"['ok_thanks', 'fetal_movement', 'medication_general', 'nutrition']"
67.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'discharge', 'baby_general', 'nutrition', 'baby_condition', 'survey_response', 'qsurvey_positive', 'ok_thanks']"
68.0,2547900000,And had in was fabled seraphs nor it beyond,"[None, 'pain', 'heartburn', 'intercourse', 'discharge', 'fetal_movement', 'nutrition', 'edd', 'baby_condition', 'pregnancy_general', 'insurance', 'fatigue_sleep', 'survey_response', 'qsurvey_positive', 'swelling', 'ok_thanks']"
69.0,2547911111,No Ideal I Was Breastfeeding,"['qsurvey_positive', 'baby_condition', 'breastfeeding', 'nutrition']"
70.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'pain', 'baby_condition', 'edd']"
71.0,2572222224,"Was artless, been nor come bower the it","['qsurvey_positive', None, 'stool', 'survey_response']"
72.0,2572222224,"Was artless, been nor come bower the it","['qsurvey_positive', 'pain', 'stool', 'urination_uti']"
73.0,2547222244,This is a ticket subject,"[None, 'pain', 'fetal_movement', 'nutrition', 'baby_condition', 'survey_response', 'qsurvey_positive', 'ok_thanks']"
74.0,2572222224,"Was artless, been nor come bower the it","['edd', 'fetal_movement']"
75.0,2547900000,And had in was fabled seraphs nor it beyond,"['ok_thanks', 'survey_response', 'pregnancy_anc_visits']"
76.0,2547911111,No Ideal I Was Breastfeeding,['qsurvey_positive']
77.0,2547222244,This is a ticket subject,"[None, 'pain', 'nausea_vomiting', 'fetal_movement', 'stool', 'nutrition', 'edd', 'baby_condition', 'pregnancy_condition', 'survey_response', 'qsurvey_positive', 'ok_thanks', 'swelling', 'pregnancy_anc_visits']"
78.0,2572222224,"Was artless, been nor come bower the it","[None, 'stool', 'baby_general', 'nutrition', 'ok_thanks', 'edd', 'baby_condition', 'survey_response', 'qsurvey_positive', 'bleeding', 'pregnancy_anc_visits']"
79.0,2547900000,And had in was fabled seraphs nor it beyond,"['pain', 'nutrition']"
80.0,2547911111,No Ideal I Was Breastfeeding,"['qsurvey_positive', 'pain', None]"
81.0,2547222244,This is a ticket subject,['edd']
82.0,2572222224,"Was artless, been nor come bower the it","['ok_thanks', 'pain', 'stool', 'survey_response']"
83.0,2572222224,"Was artless, been nor come bower the it","['qsurvey_positive', 'swelling']"
84.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'survey_response', 'baby_general']"
85.0,2572222224,"Was artless, been nor come bower the it","['qsurvey_positive', 'pregnancy_general', 'fetal_movement', 'survey_response']"
87.0,2547900000,And had in was fabled seraphs nor it beyond,"[None, 'ifas', 'qsurvey_positive', 'ok_thanks', 'qsurvey_negative']"
88.0,2547911111,No Ideal I Was Breastfeeding,"['pain', 'baby_condition', 'pregnancy_condition', 'medication_general', 'qsurvey_positive', 'ok_thanks']"
89.0,2547222244,This is a ticket subject,"[None, 'intercourse']"
90.0,2572222224,"Was artless, been nor come bower the it","['labour_delivery', 'discharge']"
91.0,2547900000,And had in was fabled seraphs nor it beyond,['baby_condition']
92.0,2547911111,No Ideal I Was Breastfeeding,"['baby_condition', 'pregnancy_condition']"
93.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'baby_condition', 'baby_general']"
94.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'ok_thanks', 'survey_response', 'qsurvey_positive', 'pregnancy_anc_visits']"
95.0,2547900000,And had in was fabled seraphs nor it beyond,['nausea_vomiting']
97.0,2547911111,No Ideal I Was Breastfeeding,"['pain', 'nutrition']"
98.0,2547222244,This is a ticket subject,"[None, 'pain', 'heartburn', 'fetal_movement', 'danger_signs', 'nutrition', 'edd', 'baby_condition', 'insurance', 'survey_response', 'qsurvey_positive', 'ok_thanks', 'pregnancy_anc_visits']"
99.0,2572222224,"Was artless, been nor come bower the it",['survey_response']
100.0,2547900000,And had in was fabled seraphs nor it beyond,[None]
101.0,2547911111,No Ideal I Was Breastfeeding,"['pain', 'fetal_movement', 'pregnancy_general', 'baby_condition', 'survey_response', 'qsurvey_positive', 'breastfeeding', 'ok_thanks']"
102.0,2547222244,This is a ticket subject,"[None, 'pregnancy_general', 'qsurvey_positive']"
103.0,2572222224,"Was artless, been nor come bower the it",['qsurvey_positive']
104.0,2547900000,And had in was fabled seraphs nor it beyond,"['ok_thanks', 'baby_condition', 'nutrition']"
105.0,2547911111,No Ideal I Was Breastfeeding,"[None, 'fetal_movement', 'baby_condition', 'pregnancy_condition', 'survey_response', 'qsurvey_positive', 'ok_thanks', 'swelling', 'qsurvey_negative']"
106.0,2547222244,This is a ticket subject,['ok_thanks']
107.0,2572222224,"Was artless, been nor come bower the it",['insurance']
108.0,2547900000,And had in was fabled seraphs nor it beyond,['ok_thanks']
109.0,2547911111,No Ideal I Was Breastfeeding,"['qsurvey_positive', 'ok_thanks']"
110.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'baby_condition', 'baby_general']"
111.0,2572222224,"Was artless, been nor come bower the it","[None, 'insurance']"
112.0,2572222224,"Was artless, been nor come bower the it","['survey_response', 'nutrition']"
113.0,2547222244,This is a ticket subject,"[None, 'family_planning', 'nutrition', 'insurance', 'survey_response', 'qsurvey_positive', 'ok_thanks']"
114.0,2572222224,"Was artless, been nor come bower the it","['ok_thanks', 'baby_condition', 'breastfeeding', 'nutrition']"
115.0,2547900000,And had in was fabled seraphs nor it beyond,"[None, 'pain', 'labour_delivery', 'fetal_movement', 'baby_general', 'nutrition', 'baby_condition', 'survey_response']"
116.0,2547911111,No Ideal I Was Breastfeeding,"['ok_thanks', 'survey_response']"
369.0,2547222244,This is a ticket subject,['pain']
926.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'intercourse', 'fetal_movement', 'labour_delivery', 'ok_thanks', 'edd', 'baby_condition', 'insurance', 'survey_response', 'qsurvey_positive', 'breastfeeding']"
927.0,2547900000,And had in was fabled seraphs nor it beyond,"[None, 'stool', 'family_planning', 'nutrition', 'baby_condition', 'qsurvey_positive', 'ok_thanks']"
928.0,2547911111,No Ideal I Was Breastfeeding,"['ok_thanks', 'pain', 'discharge', 'insurance']"
929.0,2547222244,This is a ticket subject,"['ok_thanks', 'pain', 'qsurvey_positive']"
930.0,2572222224,"Was artless, been nor come bower the it",['urination_uti']
931.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'fetal_movement', 'survey_response', 'ok_thanks']"
932.0,2547222244,This is a ticket subject,"['qsurvey_positive', 'pain', 'stool', 'ok_thanks']"
933.0,2572222224,"Was artless, been nor come bower the it","['ok_thanks', 'nutrition', 'qsurvey_positive']"
934.0,2547900000,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'baby_condition']"
935.0,2547911111,No Ideal I Was Breastfeeding,"[None, 'pain', 'fetal_movement', 'pregnancy_condition']"
936.0,2547222244,This is a ticket subject,"[None, 'pain', 'bleeding', 'intercourse', 'fetal_movement', 'family_planning', 'nutrition', 'edd', 'pregnancy_condition', 'survey_response', 'qsurvey_positive', 'swelling', 'qsurvey_negative', 'breastfeeding', 'ok_thanks']"
937.0,2572222224,"Was artless, been nor come bower the it",['ok_thanks']
938.0,2547900000,And had in was fabled seraphs nor it beyond,"['qsurvey_positive', 'pain']"
939.0,2547911111,No Ideal I Was Breastfeeding,"['pain', 'pregnancy_general']"
940.0,2547222244,This is a ticket subject,"['ok_thanks', 'survey_response']"
941.0,2572222224,"Was artless, been nor come bower the it","[None, 'pain', 'fetal_movement', 'baby_general', 'nutrition', 'pregnancy_general', 'baby_condition', 'survey_response', 'qsurvey_positive', 'swelling', 'qsurvey_negative', 'ok_thanks']"
942.0,2547900000,And had in was fabled seraphs nor it beyond,"[None, 'pain', 'nausea_vomiting', 'fetal_movement', 'nutrition', 'baby_condition', 'medication_general', 'ok_thanks']"
943.0,2547911111,No Ideal I Was Breastfeeding,['medication_general']
944.0,2547222244,This is a ticket subject,"['ok_thanks', 'survey_response', 'baby_general']"
945.0,2572222224,"Was artless, been nor come bower the it","['pregnancy_general', 'breastfeeding']"
946.0,2547900000,And had in was fabled seraphs nor it beyond,"['ok_thanks', 'labour_delivery']"
947.0,2547911111,No Ideal I Was Breastfeeding,['discharge']
948.0,2547222244,This is a ticket subject,"[None, 'family_planning', 'qsurvey_positive']"
949.0,2572222224,"Was artless, been nor come bower the it","['labour_delivery', 'headache', 'ok_thanks', 'baby_condition', 'survey_response', 'qsurvey_positive', 'qsurvey_negative', 'breastfeeding']"
950.0,2547900000,And had in was fabled seraphs nor it beyond,"[None, 'fetal_movement']"
